timestamp,query_id,retrieval_mode,top_k,latency_ms,Precision@5,Recall@10,evidence_ids_returned,faithfulness_pass,missing_evidence_behavior
1770956678.5599377,Explain bm25 normalization,Hybrid,5,2497.962713241577,,,bm25_prf_p27_c001;bm25_prf_p31_c001;img_bm25_prf_table3_1;bm25_prf_p39_c002;bm25_prf_p51_c002,False,True
1770959864.3727038,Explain bm25 normalization,hybrid,5,4022.99427986145,,,bm25_prf_p27_c001;bm25_prf_p31_c001;img_bm25_prf_table3_1;bm25_prf_p39_c002;bm25_prf_p51_c002,False,True
1770959998.7819374,How do graphs relate to RAG?,hybrid,5,115.97990989685059,,,graphflow_rag_p28_c001;gfm_rag_p03_c002;img_graphflow_rag_p04_architecture;gfm_rag_p27_c001;img_graphflow_rag_p25_training_dynamics,True,False
1770961026.4263122,How do graphs interact with RAG?,hybrid,5,4153.7909507751465,,,graphflow_rag_p28_c001;img_graphflow_rag_p04_architecture;img_graphflow_rag_p25_training_dynamics;graphflow_rag_p02_c001;gfm_rag_p27_c001,True,False
1770961273.4389243,What are some RAG evaluation benchmarks?,hybrid,5,48.520565032958984,,,chain_of_retrieval_p19_c001;rag_evaluation_ragas_p01_c003;rag_evaluation_benchmark_p11_c002;rag_evaluation_ragas_p02_c004;chain_of_retrieval_p19_c002,True,False
1770961386.193143,Explain BM25 length normalization and the difference between verbosity vs scope hypotheses.,hybrid,5,45.33052444458008,,,bm25_prf_p29_c001;bm25_prf_p34_c001;bm25_prf_p52_c001;bm25_prf_p12_c001;bm25_prf_p39_c001,True,False
1770961518.814303,"What metrics does RAGAS use to evaluate a RAG system (faithfulness, answer relevance, context relevance), and what do they mean?",hybrid,5,101.46474838256836,,,rag_evaluation_ragas_p05_c003;rag_evaluation_ragas_p03_c001;img_ragas_table1_metrics;gfm_rag_p07_c001;gfm_rag_p18_c002,True,False
1770961593.296468,What is Chain-of-Retrieval Augmented Generation and why does multi-step retrieval help?,hybrid,5,106.02784156799316,,,chain_of_retrieval_p03_c001;rag_evaluation_ragas_p01_c001;chain_of_retrieval_p09_c001;chain_of_retrieval_p01_c001;gfm_rag_p19_c003,True,False
1770961749.6643944,What is the GraphFlow as it relates to RAG and what is its architecture?,hybrid,5,96.60458564758301,,,img_graphflow_rag_p04_architecture;graphflow_rag_p01_c002;graphflow_rag_p06_c003;chain_of_retrieval_p19_c001;graphflow_rag_p09_c001,True,False
1770961845.648802,"What are the economic impacts of climate change?""",hybrid,5,97.48315811157227,,,gfm_rag_p32_c003;graphflow_rag_p21_c002;chain_of_retrieval_p25_c003;gfm_rag_p32_c002;chain_of_retrieval_p25_c002,False,True
